,Family,Genus,Species,Subspecies,Infrasubspecies,Sex,Name
17673,Papilionidae,Graphium,Graphium macareus,Graphium macareus indicus,,Graphium macareus indicus male,Papilionidae Graphium macareus indicus nan male
17676,Papilionidae,Papilio,Papilio epycides,Papilio epycides epycides,,Papilio epycides epycides male,Papilionidae Papilio epycides epycides nan male
17677,Papilionidae,Teinopalpus,Teinopalpus imperialis,Teinopalpus imperialis imperialis,,Teinopalpus imperialis imperialis male,Papilionidae Teinopalpus imperialis imperialis nan male
17678,Papilionidae,Papilio,Papilio nephelus,Papilio nephelus chaon,,Papilio nephelus chaon male,Papilionidae Papilio nephelus chaon nan male
17682,Papilionidae,Papilio,Papilio slateri,Papilio slateri slateri,,Papilio slateri slateri male,Papilionidae Papilio slateri slateri nan male
17684,Papilionidae,Graphium,Graphium eurous,Graphium eurous cashmirensis,,Graphium eurous cashmirensis male,Papilionidae Graphium eurous cashmirensis nan male
17687,Papilionidae,Papilio,Papilio bianor,Papilio bianor cf. ganesa,,Papilio bianor cf. ganesa male,Papilionidae Papilio bianor cf. ganesa nan male
17693,Nymphalidae,Neptis,Neptis,Neptis,,Neptis male,Nymphalidae Neptis nan nan nan male
17695,Papilionidae,Papilio,Papilio helenus,Papilio helenus helenus,,Papilio helenus helenus male,Papilionidae Papilio helenus helenus nan male
17697,Papilionidae,Papilio,Papilio memnon,Papilio memnon agenor,,Papilio memnon agenor male,Papilionidae Papilio memnon agenor nan male
17700,Papilionidae,Papilio,Papilio memnon,Papilio memnon agenor,,Papilio memnon agenor female,Papilionidae Papilio memnon agenor nan female
17707,Papilionidae,Papilio,Papilio castor,Papilio castor cf. castor,,Papilio castor cf. castor male,Papilionidae Papilio castor cf. castor nan male
17708,Papilionidae,Papilio,Papilio castor,Papilio castor cf. castor,,Papilio castor cf. castor female,Papilionidae Papilio castor cf. castor nan female
17710,Papilionidae,Graphium,Graphium antiphates,Graphium antiphates pompilius,,Graphium antiphates pompilius male,Papilionidae Graphium antiphates pompilius nan male
17720,Papilionidae,Teinopalpus,Teinopalpus imperialis,Teinopalpus imperialis imperialis,,Teinopalpus imperialis imperialis female,Papilionidae Teinopalpus imperialis imperialis nan female
17731,Papilionidae,Graphium,Graphium xenocles,Graphium xenocles phrontis,,Graphium xenocles phrontis male,Papilionidae Graphium xenocles phrontis nan male
17734,Papilionidae,Atrophaneura,Atrophaneura aidoneus,Atrophaneura aidoneus,,Atrophaneura aidoneus male,Papilionidae Atrophaneura aidoneus nan nan male
17737,Papilionidae,Graphium,Graphium agetes,Graphium agetes agetes,,Graphium agetes agetes male,Papilionidae Graphium agetes agetes nan male
17738,Papilionidae,Graphium,Graphium doson,Graphium doson axionides,,Graphium doson axionides male,Papilionidae Graphium doson axionides nan male
17743,Papilionidae,Papilio,Papilio clytia,Papilio clytia clytia,,Papilio clytia clytia male,Papilionidae Papilio clytia clytia nan male
17747,Papilionidae,Papilio,Papilio castor,Papilio castor castor,,Papilio castor castor female,Papilionidae Papilio castor castor nan female
17758,Papilionidae,Papilio,Papilio castor,Papilio castor castor,,Papilio castor castor male,Papilionidae Papilio castor castor nan male
17849,Papilionidae,Papilio,Papilio helenus,Papilio helenus enganius,,,Papilionidae Papilio helenus enganius nan nan
17889,Papilionidae,Graphium,Graphium antiphates,Graphium antiphates kalaoensis,,Graphium antiphates kalaoensis male,Papilionidae Graphium antiphates kalaoensis nan male
17892,Papilionidae,Papilio,Papilio gigon,Papilio gigon cf. gigon,,Papilio gigon cf. gigon female,Papilionidae Papilio gigon cf. gigon nan female
17893,Papilionidae,Papilio,Papilio fuscus,Papilio fuscus,,Papilio fuscus female,Papilionidae Papilio fuscus nan nan female
17902,Papilionidae,Papilio,Papilio demoleus,Papilio demoleus,,Papilio demoleus male,Papilionidae Papilio demoleus nan nan male
17980,Papilionidae,Papilio,Papilio polytes,Papilio polytes timorensis,,Papilio polytes timorensis male,Papilionidae Papilio polytes timorensis nan male
17983,Papilionidae,Papilio,Papilio helenus,Papilio helenus mangarinus,,Papilio helenus mangarinus male,Papilionidae Papilio helenus mangarinus nan male
18106,Papilionidae,Papilio,Papilio gigon,Papilio gigon cf. gigon,,Papilio gigon cf. gigon male,Papilionidae Papilio gigon cf. gigon nan male
18107,Nymphalidae,Idea,Idea blanchardi,Idea blanchardi,,,Nymphalidae Idea blanchardi nan nan nan
18127,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon cf. agamemnon,,Graphium agamemnon cf. agamemnon female,Papilionidae Graphium agamemnon cf. agamemnon nan female
18128,Papilionidae,Graphium,Graphium eurypylus,Graphium eurypylus pamphilus,,Graphium eurypylus pamphilus male,Papilionidae Graphium eurypylus pamphilus nan male
18176,Papilionidae,Atrophaneura,Atrophaneura priapus,Atrophaneura priapus priapus,,Atrophaneura priapus priapus female,Papilionidae Atrophaneura priapus priapus nan female
18183,Papilionidae,Troides,Troides amphrysus,Troides amphrysus amphrysus,,Troides amphrysus amphrysus female,Papilionidae Troides amphrysus amphrysus nan female
18186,Papilionidae,Papilio,Papilio ascalaphus,Papilio ascalaphus,,Papilio ascalaphus female,Papilionidae Papilio ascalaphus nan nan female
18274,Papilionidae,Papilio,Papilio polytes,Papilio polytes alcindor,,Papilio polytes alcindor male,Papilionidae Papilio polytes alcindor nan male
18275,Papilionidae,Pachliopta,Pachliopta polyphontes,Pachliopta polyphontes polyphontes,,Pachliopta polyphontes polyphontes male,Papilionidae Pachliopta polyphontes polyphontes nan male
18276,Papilionidae,Pachliopta,Pachliopta polyphontes,Pachliopta polyphontes polyphontes,,Pachliopta polyphontes polyphontes female,Papilionidae Pachliopta polyphontes polyphontes nan female
18280,Papilionidae,Papilio,Papilio sataspes,Papilio sataspes sataspes,,Papilio sataspes sataspes female,Papilionidae Papilio sataspes sataspes nan female
18282,Papilionidae,Papilio,Papilio sataspes,Papilio sataspes sataspes,,Papilio sataspes sataspes male,Papilionidae Papilio sataspes sataspes nan male
18284,Papilionidae,Graphium,Graphium milon,Graphium milon milon,,Graphium milon milon male,Papilionidae Graphium milon milon nan male
18287,Papilionidae,Papilio,Papilio ascalaphus,Papilio ascalaphus ascalaphus,,Papilio ascalaphus ascalaphus male,Papilionidae Papilio ascalaphus ascalaphus nan male
18290,Papilionidae,Graphium,Graphium monticolus,Graphium monticolus,,Graphium monticolus male,Papilionidae Graphium monticolus nan nan male
18291,Papilionidae,Papilio,Papilio blumei,Papilio blumei blumei,,Papilio blumei blumei male,Papilionidae Papilio blumei blumei nan male
18294,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon comodus,,Graphium agamemnon comodus male,Papilionidae Graphium agamemnon comodus nan male
18295,Papilionidae,Troides,Troides helena,Troides helena hephaestus,,Troides helena hephaestus female,Papilionidae Troides helena hephaestus nan female
18297,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon comodus,,Graphium agamemnon comodus female,Papilionidae Graphium agamemnon comodus nan female
18300,Papilionidae,Papilio,Papilio aegeus,Papilio aegeus keianus,,Papilio aegeus keianus male,Papilionidae Papilio aegeus keianus nan male
18301,Papilionidae,Pachliopta,Pachliopta polydorus,Pachliopta polydorus thessalia,,Pachliopta polydorus thessalia male,Papilionidae Pachliopta polydorus thessalia nan male
18302,Papilionidae,Papilio,Papilio fuscus,Papilio fuscus thomsonii,,Papilio fuscus thomsonii female,Papilionidae Papilio fuscus thomsonii nan female
18303,Papilionidae,Ornithoptera,Ornithoptera priamus,Ornithoptera priamus hecuba,,Ornithoptera priamus hecuba male,Papilionidae Ornithoptera priamus hecuba nan male
18304,Papilionidae,Papilio,Papilio fuscus,Papilio fuscus thomsonii,,Papilio fuscus thomsonii male,Papilionidae Papilio fuscus thomsonii nan male
18306,Papilionidae,Papilio,Papilio aegeus,Papilio aegeus keianus,,Papilio aegeus keianus female,Papilionidae Papilio aegeus keianus nan female
18313,Papilionidae,Pachliopta,Pachliopta polydorus,Pachliopta polydorus thessalia,,Pachliopta polydorus thessalia female,Papilionidae Pachliopta polydorus thessalia nan female
18319,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon adonarensis,,Graphium sarpedon adonarensis male,Papilionidae Graphium sarpedon adonarensis nan male
18324,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon meton,,Graphium agamemnon meton male,Papilionidae Graphium agamemnon meton nan male
18325,Papilionidae,Graphium,Graphium latreillianus,Graphium latreillianus theorini,,Graphium latreillianus theorini male,Papilionidae Graphium latreillianus theorini nan male
18326,Papilionidae,Papilio,Papilio zenobia-group,Papilio zenobia-group,,Papilio zenobia-group male,Papilionidae Papilio zenobia-group nan nan male
18327,Papilionidae,Graphium,Graphium ucalegon,Graphium ucalegon,,Graphium ucalegon female,Papilionidae Graphium ucalegon nan nan female
18328,Papilionidae,Graphium,Graphium leonidas,Graphium leonidas leonidas,,Graphium leonidas leonidas male,Papilionidae Graphium leonidas leonidas nan male
18329,Papilionidae,Papilio,Papilio demodocus,Papilio demodocus demodocus,,Papilio demodocus demodocus female,Papilionidae Papilio demodocus demodocus nan female
18330,Papilionidae,Papilio,Papilio hesperus,Papilio hesperus hesperus,,Papilio hesperus hesperus male,Papilionidae Papilio hesperus hesperus nan male
18331,Papilionidae,Papilio,Papilio cynorta-group,Papilio cynorta-group,,Papilio cynorta-group male,Papilionidae Papilio cynorta-group nan nan male
18332,Papilionidae,Graphium,Graphium policenes,Graphium policenes policenes,,Graphium policenes policenes male,Papilionidae Graphium policenes policenes nan male
18333,Papilionidae,Graphium,Graphium tynderaeus,Graphium tynderaeus,,Graphium tynderaeus male,Papilionidae Graphium tynderaeus nan nan male
18337,Papilionidae,Graphium,Graphium antheus,Graphium antheus antheus,,Graphium antheus antheus male,Papilionidae Graphium antheus antheus nan male
18338,Papilionidae,Papilio,Papilio phorcas,Papilio phorcas,,Papilio phorcas male,Papilionidae Papilio phorcas nan nan male
18339,Papilionidae,Papilio,Papilio cf. cyproeofila,Papilio cf. cyproeofila,,Papilio cf. cyproeofila male,Papilionidae Papilio cf. cyproeofila nan nan male
18341,Acreidae,,,,,,Acreidae nan nan nan nan nan
18342,Papilionidae,Graphium,Graphium ucalegon,Graphium ucalegon,,Graphium ucalegon male,Papilionidae Graphium ucalegon nan nan male
18343,Papilionidae,Papilio,Papilio nireus,Papilio nireus nireus,,Papilio nireus nireus male,Papilionidae Papilio nireus nireus nan male
18346,Papilionidae,Papilio,Papilio lormieri,Papilio lormieri,,Papilio lormieri male,Papilionidae Papilio lormieri nan nan male
18348,Papilionidae,Papilio,Papilio antimachus,Papilio antimachus antimachus,,Papilio antimachus antimachus male,Papilionidae Papilio antimachus antimachus nan male
18352,Papilionidae,Papilio,Papilio dardanus,Papilio dardanus dardanus,,Papilio dardanus dardanus female,Papilionidae Papilio dardanus dardanus nan female
18353,Papilionidae,Papilio,Papilio zalmoxis,Papilio zalmoxis,,Papilio zalmoxis male,Papilionidae Papilio zalmoxis nan nan male
18357,Papilionidae,Graphium,Graphium angolanus,Graphium angolanus,,Graphium angolanus male,Papilionidae Graphium angolanus nan nan male
18365,Papilionidae,Papilio,Papilio demodocus,Papilio demodocus demodocus,,Papilio demodocus demodocus male,Papilionidae Papilio demodocus demodocus nan male
18384,Papilionidae,Papilio,Papilio polytes,Papilio polytes theseus,,Papilio polytes theseus female,Papilionidae Papilio polytes theseus nan female
18389,Papilionidae,Graphium,Graphium delesserti,Graphium delesserti delesserti,,Graphium delesserti delesserti male,Papilionidae Graphium delesserti delesserti nan male
18391,Papilionidae,Graphium,Graphium antiphates,Graphium antiphates itamputi,,Graphium antiphates itamputi male,Papilionidae Graphium antiphates itamputi nan male
18425,Papilionidae,Papilio,Papilio phorcas,Papilio phorcas ssp.,,Papilio phorcas ssp. male,Papilionidae Papilio phorcas ssp. nan male
18427,Papilionidae,Papilio,Papilio dardanus,Papilio dardanus,,Papilio dardanus male,Papilionidae Papilio dardanus nan nan male
18428,Papilionidae,Papilio,Papilio demodocus,Papilio demodocus demodocus,,,Papilionidae Papilio demodocus demodocus nan nan
18429,Papilionidae,Papilio,Papilio desmondi,Papilio desmondi,,Papilio desmondi female,Papilionidae Papilio desmondi nan nan female
18430,Papilionidae,Papilio,Papilio desmondi,Papilio desmondi,,Papilio desmondi male,Papilionidae Papilio desmondi nan nan male
18432,Papilionidae,Papilio,Papilio mackinnoni,Papilio mackinnoni,,,Papilionidae Papilio mackinnoni nan nan nan
18437,Papilionidae,Papilio,Papilio mackinnoni,Papilio mackinnoni,,Papilio mackinnoni male,Papilionidae Papilio mackinnoni nan nan male
18438,Papilionidae,Papilio,Papilio nobilis,Papilio nobilis,,Papilio nobilis male,Papilionidae Papilio nobilis nan nan male
18443,Papilionidae,Papilio,Papilio jacksoni,Papilio jacksoni cf. jacksoni,,Papilio jacksoni cf. jacksoni male,Papilionidae Papilio jacksoni cf. jacksoni nan male
18446,Papilionidae,Papilio,Papilio cf. mackinnoni,Papilio cf. mackinnoni,,Papilio cf. mackinnoni female,Papilionidae Papilio cf. mackinnoni nan nan female
18456,Papilionidae,Graphium,Graphium doson,Graphium doson evemonides,,Graphium doson evemonides male,Papilionidae Graphium doson evemonides nan male
18457,Papilionidae,Papilio,Papilio nephelus,Papilio nephelus albolineatus,,Papilio nephelus albolineatus male,Papilionidae Papilio nephelus albolineatus nan male
18472,Papilionidae,Papilio,Papilio ophidicephalus,Papilio ophidicephalus cf. phalusco,,Papilio ophidicephalus cf. phalusco female,Papilionidae Papilio ophidicephalus cf. phalusco nan female
18478,Papilionidae,Graphium,Graphium angolanus,Graphium angolanus calabar,,Graphium angolanus calabar male,Papilionidae Graphium angolanus calabar nan male
18480,Papilionidae,Graphium,Graphium policenes,Graphium policenes,,Graphium policenes male,Papilionidae Graphium policenes nan nan male
18484,Papilionidae,Papilio,Papilio,Papilio,,Papilio female,Papilionidae Papilio nan nan nan female
18491,Papilionidae,Papilio,Papilio dardanus,Papilio dardanus dardanus,,Papilio dardanus dardanus male,Papilionidae Papilio dardanus dardanus nan male
18492,Papilionidae,Papilio,Papilio cynorta,Papilio cynorta,,Papilio cynorta male,Papilionidae Papilio cynorta nan nan male
18526,Papilionidae,Graphium,Graphium antheus,Graphium antheus,,Graphium antheus male,Papilionidae Graphium antheus nan nan male
18527,Papilionidae,Papilio,Papilio nireus,Papilio nireus cf. lyaeus,,Papilio nireus cf. lyaeus male,Papilionidae Papilio nireus cf. lyaeus nan male
18537,Papilionidae,Papilio,Papilio dardanus,Papilio dardanus cf. tibullus,,Papilio dardanus cf. tibullus male,Papilionidae Papilio dardanus cf. tibullus nan male
18549,Papilionidae,Graphium,Graphium macareus,Graphium macareus maccabaeus,,Graphium macareus maccabaeus male,Papilionidae Graphium macareus maccabaeus nan male
18550,Papilionidae,Papilio,Papilio polytes,Papilio polytes theseus,,Papilio polytes theseus male,Papilionidae Papilio polytes theseus nan male
18561,Papilionidae,Lamproptera,Lamproptera meges,Lamproptera meges meges,,Lamproptera meges meges male,Papilionidae Lamproptera meges meges nan male
18570,Papilionidae,Graphium,Graphium leonidas,Graphium leonidas leonidas,,Graphium leonidas leonidas female,Papilionidae Graphium leonidas leonidas nan female
18591,Papilionidae,Eurytides,Eurytides philolaus,Eurytides philolaus philolaus,,Eurytides philolaus philolaus male,Papilionidae Eurytides philolaus philolaus nan male
18613,Papilionidae,Papilio,Papilio cf. glaucus,Papilio cf. glaucus,,Papilio cf. glaucus female,Papilionidae Papilio cf. glaucus nan nan female
18614,Papilionidae,Papilio,Papilio hesperus,Papilio hesperus,,Papilio hesperus male,Papilionidae Papilio hesperus nan nan male
18615,Papilionidae,Graphium,Graphium angolanus,Graphium angolanus angolanus,,Graphium angolanus angolanus male,Papilionidae Graphium angolanus angolanus nan male
18619,Papilionidae,Papilio,Papilio cf. glaucus,Papilio cf. glaucus,,Papilio cf. glaucus male,Papilionidae Papilio cf. glaucus nan nan male
18621,Papilionidae,Papilio,Papilio cf. sosia,Papilio cf. sosia,,Papilio cf. sosia male,Papilionidae Papilio cf. sosia nan nan male
18625,Pieridae,Appias,Appias zarinda,Appias zarinda zarinda,,Appias zarinda zarinda male,Pieridae Appias zarinda zarinda nan male
18626,Pieridae,Appias,Appias zarinda,Appias zarinda zarinda,,Appias zarinda zarinda female,Pieridae Appias zarinda zarinda nan female
18628,Papilionidae,Graphium,Graphium rhesus,Graphium rhesus rhesus,,Graphium rhesus rhesus female,Papilionidae Graphium rhesus rhesus nan female
18631,Pieridae,Appias,Appias hombroni,Appias hombroni hombroni,,Appias hombroni hombroni female,Pieridae Appias hombroni hombroni nan female
18633,Pieridae,Catopsilia,Catopsilia pomona,Catopsilia pomona flava,,Catopsilia pomona flava female,Pieridae Catopsilia pomona flava nan female
18636,Pieridae,Aoa,Aoa affinis,Aoa affinis,,Aoa affinis male,Pieridae Aoa affinis nan nan male
18644,Papilionidae,Graphium,Graphium meyeri,Graphium meyeri,,Graphium meyeri female,Papilionidae Graphium meyeri nan nan female
18645,Papilionidae,Lamproptera,Lamproptera meges,Lamproptera meges ennius,,Lamproptera meges ennius male,Papilionidae Lamproptera meges ennius nan male
18649,Papilionidae,Graphium,Graphium rhesus,Graphium rhesus rhesus,,Graphium rhesus rhesus male,Papilionidae Graphium rhesus rhesus nan male
18650,Papilionidae,Pachliopta,Pachliopta cf. adamas,Pachliopta cf. adamas,,Pachliopta cf. adamas male,Papilionidae Pachliopta cf. adamas nan nan male
18652,Papilionidae,Papilio,Papilio polytes,Papilio polytes sotira,,Papilio polytes sotira male,Papilionidae Papilio polytes sotira nan male
18665,Papilionidae,Papilio,Papilio peranthus,Papilio peranthus adamantius,,Papilio peranthus adamantius male,Papilionidae Papilio peranthus adamantius nan male
18669,Papilionidae,Papilio,Papilio fuscus,Papilio fuscus pertinax,,Papilio fuscus pertinax male,Papilionidae Papilio fuscus pertinax nan male
18680,Papilionidae,Papilio,Papilio gigon,Papilio gigon gigon,,Papilio gigon gigon male,Papilionidae Papilio gigon gigon nan male
18697,Papilionidae,Graphium,Graphium androcles,Graphium androcles androcles,,Graphium androcles androcles male,Papilionidae Graphium androcles androcles nan male
18724,Papilionidae,Lamproptera,Lamproptera meges,Lamproptera meges akirai,,Lamproptera meges akirai male,Papilionidae Lamproptera meges akirai nan male
18737,Hesperiidae,Celaenoirrhinus,Celaenoirrhinus,Celaenoirrhinus,,,Hesperiidae Celaenoirrhinus nan nan nan nan
18738,Hesperiidae,Erionota,Erionota thrax,Erionota thrax,,,Hesperiidae Erionota thrax nan nan nan
18740,Hesperiidae,Iambrix,Iambrix distanti,Iambrix distanti,,,Hesperiidae Iambrix distanti nan nan nan
18743,Lycaenidae,Chilades,Chilades pandava,Chilades pandava,,Chilades pandava female,Lycaenidae Chilades pandava nan nan female
18744,Hesperiidae,Tagiades,Tagiades litigiosa,Tagiades litigiosa tubulus,,,Hesperiidae Tagiades litigiosa tubulus nan nan
18745,Hesperiidae,Potanthus,Potanthus,Potanthus,,,Hesperiidae Potanthus nan nan nan nan
18746,Lycaenidae,Hypolycaena,Hypolycaena amasa,Hypolycaena amasa pompaedius,,,Lycaenidae Hypolycaena amasa pompaedius nan nan
18748,Lycaenidae,Allotinus,Allotinus,Allotinus,,,Lycaenidae Allotinus nan nan nan nan
18750,Lycaenidae,Acytolepis,Acytolepis puspa,Acytolepis puspa puspa,,,Lycaenidae Acytolepis puspa puspa nan nan
18751,Lycaenidae,Miletus,Miletus,Miletus,,,Lycaenidae Miletus nan nan nan nan
18753,Hesperiidae,Parnara,Parnara apostata,Parnara apostata,,,Hesperiidae Parnara apostata nan nan nan
18754,Hesperiidae,Notocrypta,Notocrypta curvifascia,Notocrypta curvifascia chimaera,,,Hesperiidae Notocrypta curvifascia chimaera nan nan
18755,Lycaenidae,Jamides,Jamides,Jamides,,,Lycaenidae Jamides nan nan nan nan
18758,Lycaenidae,Spalgis,Spalgis epius,Spalgis epius,,,Lycaenidae Spalgis epius nan nan nan
18759,Lycaenidae,Caleta,Caleta roxus,Caleta roxus,,,Lycaenidae Caleta roxus nan nan nan
18760,Hesperiidae,Gangara,Gangara thyrsis,Gangara thyrsis,,,Hesperiidae Gangara thyrsis nan nan nan
18763,Lycaenidae,Chilades,Chilades pandava,Chilades pandava,,,Lycaenidae Chilades pandava nan nan nan
18768,Hesperiidae,Iambrix,Iambrix,Iambrix,,,Hesperiidae Iambrix nan nan nan nan
18775,Lycaenidae,Surendra,Surendra vivarna,Surendra vivarna,,,Lycaenidae Surendra vivarna nan nan nan
18780,Hesperiidae,Koruthaialos,Koruthaialos rubecula,Koruthaialos rubecula,,,Hesperiidae Koruthaialos rubecula nan nan nan
18787,Lycaenidae,Jamides,Jamides,Jamides,,Jamides female,Lycaenidae Jamides nan nan nan female
18788,Hesperiidae,Taractrocera,Taractrocera aliena,Taractrocera aliena,,,Hesperiidae Taractrocera aliena nan nan nan
18806,Callidulidae,,,,,,Callidulidae nan nan nan nan nan
18809,Hesperiidae,Ampittia,Ampittia dioscorides,Ampittia dioscorides,,,Hesperiidae Ampittia dioscorides nan nan nan
18820,Hesperiidae,Halpe,Halpe zola,Halpe zola,,,Hesperiidae Halpe zola nan nan nan
18832,Hesperiidae,Oriens,Oriens,Oriens,,,Hesperiidae Oriens nan nan nan nan
18837,Hesperiidae,Pelopidas,Pelopidas conjuncta,Pelopidas conjuncta,,,Hesperiidae Pelopidas conjuncta nan nan nan
18842,Lycaenidae,Sinthusa,Sinthusa malika,Sinthusa malika,,,Lycaenidae Sinthusa malika nan nan nan
18846,Hesperiidae,Caltoris,Caltoris brunnea,Caltoris brunnea,,,Hesperiidae Caltoris brunnea nan nan nan
18848,Hesperiidae,Telicota,Telicota,Telicota,,,Hesperiidae Telicota nan nan nan nan
18850,Lycaenidae,Flos,Flos apidanus,Flos apidanus,,,Lycaenidae Flos apidanus nan nan nan
18855,Hesperiidae,Ge,Ge geta,Ge geta,,,Hesperiidae Ge geta nan nan nan
18858,Lycaenidae,Heliophorus,Heliophorus epicles,Heliophorus epicles,,,Lycaenidae Heliophorus epicles nan nan nan
18865,Hesperiidae,Halpe,Halpe,Halpe,,,Hesperiidae Halpe nan nan nan nan
18879,Hesperiidae,Psolos,Psolos fuligo,Psolos fuligo,,,Hesperiidae Psolos fuligo nan nan nan
18880,Lycaenidae,Poritia,Poritia,Poritia,,,Lycaenidae Poritia nan nan nan nan
18892,Lycaenidae,Zizina,Zizina otis,Zizina otis lampa,,,Lycaenidae Zizina otis lampa nan nan
18902,Geometridae,,,,,,Geometridae nan nan nan nan nan
18904,Lycaenidae,Arhopala,Arhopala centaurus,Arhopala centaurus,,,Lycaenidae Arhopala centaurus nan nan nan
18927,Lycaenidae,Lampides,Lampides boeticus,Lampides boeticus,,,Lycaenidae Lampides boeticus nan nan nan
18928,Lycaenidae,Everes,Everes lacturnus,Everes lacturnus,,,Lycaenidae Everes lacturnus nan nan nan
18935,Hesperiidae,Oriens,Oriens gola,Oriens gola,,,Hesperiidae Oriens gola nan nan nan
18941,Lycaenidae,Horaga,Horaga,Horaga,,,Lycaenidae Horaga nan nan nan nan
18968,Lycaenidae,Curetis,Curetis,Curetis,,,Lycaenidae Curetis nan nan nan nan
18969,Hesperiidae,Pelopidas,Pelopidas,Pelopidas,,,Hesperiidae Pelopidas nan nan nan nan
18977,Lycaenidae,Jamides,Jamides celeno,Jamides celeno,,,Lycaenidae Jamides celeno nan nan nan
18982,Lycaenidae,Logania,Logania,Logania,,,Lycaenidae Logania nan nan nan nan
18995,Hesperiidae,Ancistroides,Ancistroides nigrita,Ancistroides nigrita,,,Hesperiidae Ancistroides nigrita nan nan nan
18997,Lycaenidae,Arhopala,Arhopala,Arhopala,,,Lycaenidae Arhopala nan nan nan nan
19019,Lycaenidae,Pithecops,Pithecops corvus,Pithecops corvus corax,,,Lycaenidae Pithecops corvus corax nan nan
19023,Lycaenidae,Loxura,Loxura,Loxura,,,Lycaenidae Loxura nan nan nan nan
19031,Lycaenidae,Heliophorus,Heliophorus,Heliophorus,,,Lycaenidae Heliophorus nan nan nan nan
19187,Hesperiidae,Koruthaialus,Koruthaialus rubecula,Koruthaialus rubecula,,,Hesperiidae Koruthaialus rubecula nan nan nan
19220,Lycaenidae,Prosotas,Prosotas,Prosotas,,,Lycaenidae Prosotas nan nan nan nan
19221,Lycaenidae,Hypolycaena,Hypolycaena amasa,Hypolycaena amasa,,,Lycaenidae Hypolycaena amasa nan nan nan
19245,Lycaenidae,Acytolepis,Acytolepis puspa,Acytolepis puspa,,,Lycaenidae Acytolepis puspa nan nan nan
19249,Lycaenidae,Dacalana,Dacalana,Dacalana,,,Lycaenidae Dacalana nan nan nan nan
19294,Lycaenidae,Caleta,Caleta,Caleta,,,Lycaenidae Caleta nan nan nan nan
19332,Lycaenidae,Surendra,Surendra quercetorum,Surendra quercetorum,,,Lycaenidae Surendra quercetorum nan nan nan
19364,Pieridae,Belenois,Belenois java,Belenois java java,,Belenois java java male,Pieridae Belenois java java nan male
19365,Pieridae,Belenois,Belenois java,Belenois java java,,Belenois java java female,Pieridae Belenois java java nan female
19369,Pieridae,Appias,Appias lyncida,Appias lyncida,,Appias lyncida male,Pieridae Appias lyncida nan nan male
19374,Lycaenidae,Hypolycaena,Hypolycaena erylus,Hypolycaena erylus erylus,,,Lycaenidae Hypolycaena erylus erylus nan nan
19375,Pieridae,Saletara,Saletara panda,Saletara panda,,Saletara panda male,Pieridae Saletara panda nan nan male
19377,Hesperiidae,Pelopidas,Pelopidas mathias,Pelopidas mathias,,,Hesperiidae Pelopidas mathias nan nan nan
19390,Pieridae,Catopsilia,Catopsilia pomona,Catopsilia pomona,,Catopsilia pomona male,Pieridae Catopsilia pomona nan nan male
19392,Hesperiidae,Parnara,Parnara,Parnara,,,Hesperiidae Parnara nan nan nan nan
19395,Pieridae,Delias,Delias periboea,Delias periboea,,Delias periboea female,Pieridae Delias periboea nan nan female
19396,Pieridae,Delias,Delias periboea,Delias periboea,,Delias periboea male,Pieridae Delias periboea nan nan male
19401,Pieridae,Appias,Appias lyncida,Appias lyncida hippona,,Appias lyncida hippona female,Pieridae Appias lyncida hippona nan female
19407,Pieridae,Eurema,Eurema cf. hecabe,Eurema cf. hecabe,,,Pieridae Eurema cf. hecabe nan nan nan
19409,Pieridae,Delias,Delias belisama,Delias belisama belisama,,Delias belisama belisama male,Pieridae Delias belisama belisama nan male
19419,Pieridae,Appias,Appias indra,Appias indra leptis,,Appias indra leptis male,Pieridae Appias indra leptis nan male
19482,Lycaenidae,Discolampa,Discolampa ethion,Discolampa ethion,,,Lycaenidae Discolampa ethion nan nan nan
19483,Lycaenidae,Psychonotis,Psychonotis,Psychonotis,,,Lycaenidae Psychonotis nan nan nan nan
19485,Lycaenidae,Catochrysops,Catochrysops panormus,Catochrysops panormus,,,Lycaenidae Catochrysops panormus nan nan nan
19486,Lycaenidae,Psychonotis,Psychonotis piepersii,Psychonotis piepersii,,,Lycaenidae Psychonotis piepersii nan nan nan
19489,Lycaenidae,Jamides,Jamides bochus,Jamides bochus,,,Lycaenidae Jamides bochus nan nan nan
19492,Lycaenidae,Hypolycaena,Hypolycaena sipylus,Hypolycaena sipylus,,,Lycaenidae Hypolycaena sipylus nan nan nan
19493,Lycaenidae,Arhopala,Arhopala acetes,Arhopala acetes,,,Lycaenidae Arhopala acetes nan nan nan
19494,Lycaenidae,Psychonotis,Psychonotis piepersii,Psychonotis piepersii,,Psychonotis piepersii female,Lycaenidae Psychonotis piepersii nan nan female
19507,Lycaenidae,Caleta,Caleta elna,Caleta elna,,,Lycaenidae Caleta elna nan nan nan
19508,Lycaenidae,Euchrysops,Euchrysops cnejus,Euchrysops cnejus,,,Lycaenidae Euchrysops cnejus nan nan nan
19511,Lycaenidae,Rapala,Rapala,Rapala,,,Lycaenidae Rapala nan nan nan nan
