,Family,Genus,Species,Subspecies,Infrasubspecies,Sex,Name
32099,Pieridae,Delias,Delias toxopei,Delias toxopei,,,Pieridae Delias toxopei nan nan nan
32373,Pieridae,Delias,Delias hypomelas,Delias hypomelas lieftincki,,,Pieridae Delias hypomelas lieftincki nan nan
32443,Pieridae,Delias,Delias hapalina,Delias hapalina,,,Pieridae Delias hapalina nan nan nan
32564,Pieridae,Delias,Delias carstenziana,Delias carstenziana,,,Pieridae Delias carstenziana nan nan nan
32590,Pieridae,Delias,Delias luctuosa,Delias luctuosa,,,Pieridae Delias luctuosa nan nan nan
32663,Pieridae,Delias,Delias wollastoni,Delias wollastoni,,,Pieridae Delias wollastoni nan nan nan
32664,Pieridae,Delias,Delias catisa,Delias catisa,,,Pieridae Delias catisa nan nan nan
32676,Pieridae,Delias,Delias nais,Delias nais,,,Pieridae Delias nais nan nan nan
32688,Pieridae,Delias,Delias isocharis,Delias isocharis,,,Pieridae Delias isocharis nan nan nan
34581,Pieridae,Delias,Delias crithoe,Delias crithoe cf. crithoe,,Delias crithoe cf. crithoe male,Pieridae Delias crithoe cf. crithoe nan male
34642,Pieridae,Prioneris,Prioneris autothisbe,Prioneris autothisbe autothisbe,,Prioneris autothisbe autothisbe male,Pieridae Prioneris autothisbe autothisbe nan male
34650,Pieridae,Delias,Delias belisama,Delias belisama nakula,,Delias belisama nakula male,Pieridae Delias belisama nakula nan male
34654,Pieridae,Hebomoia,Hebomoia glaucippe,Hebomoia glaucippe,,Hebomoia glaucippe male,Pieridae Hebomoia glaucippe nan nan male
34658,Pieridae,Neophasia,Neophasia menapia,Neophasia menapia,,,Pieridae Neophasia menapia nan nan nan
34664,Pieridae,Colias,Colias alexandra,Colias alexandra,,,Pieridae Colias alexandra nan nan nan
34669,Pieridae,Colias,Colias chrysotheme,Colias chrysotheme eurytheme,,,Pieridae Colias chrysotheme eurytheme nan nan
34679,Pieridae,Euchloe,Euchloe ausonides,Euchloe ausonides,,,Pieridae Euchloe ausonides nan nan nan
34683,Pieridae,Colias,Colias scudderi,Colias scudderi,,,Pieridae Colias scudderi nan nan nan
34687,Pieridae,Colotis,Colotis,Colotis,,,Pieridae Colotis nan nan nan nan
34700,Pieridae,Delias,Delias periboea,Delias periboea periboea,,Delias periboea periboea male,Pieridae Delias periboea periboea nan male
34701,Pieridae,Pieris,Pieris,Pieris,,,Pieridae Pieris nan nan nan nan
34704,Pieridae,Gonepteryx,Gonepteryx cf. rhamni,Gonepteryx cf. rhamni,,Gonepteryx cf. rhamni male,Pieridae Gonepteryx cf. rhamni nan nan male
34708,Pieridae,Gonepteryx,Gonepteryx cf. rhamni,Gonepteryx cf. rhamni,,Gonepteryx cf. rhamni female,Pieridae Gonepteryx cf. rhamni nan nan female
34709,Pieridae,Pareronia,Pareronia cf. valeria,Pareronia cf. valeria,,Pareronia cf. valeria male,Pieridae Pareronia cf. valeria nan nan male
34710,Pieridae,Pieris,Pieris rapae,Pieris rapae,,,Pieridae Pieris rapae nan nan nan
34715,Pieridae,Leuciacria,Leuciacria acuta,Leuciacria acuta,,Leuciacria acuta male,Pieridae Leuciacria acuta nan nan male
34716,Pieridae,Delias,Delias callista,Delias callista callipareia,,Delias callista callipareia male,Pieridae Delias callista callipareia nan male
34717,Pieridae,Delias,Delias ligata,Delias ligata interpolata,,Delias ligata interpolata male,Pieridae Delias ligata interpolata nan male
34725,Pieridae,Delias,Delias isocharis,Delias isocharis latiapicalis,,Delias isocharis latiapicalis male,Pieridae Delias isocharis latiapicalis nan male
34734,Pieridae,Delias,Delias autumnalis,Delias autumnalis autumnalis,,Delias autumnalis autumnalis male,Pieridae Delias autumnalis autumnalis nan male
34736,Pieridae,Delias,Delias pheres,Delias pheres,,Delias pheres male,Pieridae Delias pheres nan nan male
34741,Pieridae,Delias,Delias toxopei,Delias toxopei toxopei,,Delias toxopei toxopei m,Pieridae Delias toxopei toxopei nan m
34746,Pieridae,Delias,Delias antara,Delias antara,,Delias antara male,Pieridae Delias antara nan nan male
34749,Pieridae,Delias,Delias alepa,Delias alepa kunupiensis,,Delias alepa kunupiensis male,Pieridae Delias alepa kunupiensis nan male
34753,Pieridae,Delias,Delias catisa,Delias catisa aurostriga,,Delias catisa aurostriga male,Pieridae Delias catisa aurostriga nan male
34754,Pieridae,Delias,Delias cf. aroae,Delias cf. aroae yabensis,,Delias cf. aroae yabensis male,Pieridae Delias cf. aroae yabensis nan male
34756,Pieridae,Delias,Delias hapalina,Delias hapalina adnexa,,Delias hapalina adnexa male,Pieridae Delias hapalina adnexa nan male
34758,Pieridae,Delias,Delias hypomelas,Delias hypomelas rubrostriata,,Delias hypomelas rubrostriata male,Pieridae Delias hypomelas rubrostriata nan male
34760,Pieridae,Delias,Delias marguerita,Delias marguerita,,Delias marguerita male,Pieridae Delias marguerita nan nan male
34765,Pieridae,Delias,Delias wollastoni,Delias wollastoni bryophilea,,Delias wollastoni bryophilea male,Pieridae Delias wollastoni bryophilea nan male
34773,Pieridae,Delias,Delias cf. pheres,Delias cf. pheres approximata,,Delias cf. pheres approximata male,Pieridae Delias cf. pheres approximata nan male
34780,Pieridae,Delias,Delias flavistriga,Delias flavistriga,,Delias flavistriga male,Pieridae Delias flavistriga nan nan male
34782,Pieridae,Delias,Delias nais,Delias nais,zebra,Delias nais male,Pieridae Delias nais nan zebra male
34813,Pieridae,Delias,Delias momea,Delias momea momea,,,Pieridae Delias momea momea nan nan
34817,Pieridae,Hebomoia,Hebomoia glaucippe,Hebomoia glaucippe,,,Pieridae Hebomoia glaucippe nan nan nan
34824,Pieridae,Delias,Delias momea,Delias momea momea,,Delias momea momea female,Pieridae Delias momea momea nan female
34825,Pieridae,Delias,Delias momea,Delias momea momea,,Delias momea momea male,Pieridae Delias momea momea nan male
34857,Pieridae,Gandaca,Gandaca cf. harina,Gandaca cf. harina,,Gandaca cf. harina male,Pieridae Gandaca cf. harina nan nan male
