,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
22661,Lepidoptera,Butterfly,Pieridae,Delias,Delias pasithoe,Delias pasithoe triglites,,Lepidoptera Butterfly Pieridae Delias pasithoe triglites nan
22664,Lepidoptera,Butterfly,Pieridae,Hebomoia,Hebomoia glaucippe,Hebomoia glaucippe felderi,Hebomoia glaucippe felderi male,Lepidoptera Butterfly Pieridae Hebomoia glaucippe felderi male
22665,Lepidoptera,Butterfly,Pieridae,Hebomoia,Hebomoia glaucippe,Hebomoia glaucippe felderi,,Lepidoptera Butterfly Pieridae Hebomoia glaucippe felderi nan
22668,Lepidoptera,Butterfly,Pieridae,Hebomoia,Hebomoia glaucippe,Hebomoia glaucippe felderi,Hebomoia glaucippe felderi female,Lepidoptera Butterfly Pieridae Hebomoia glaucippe felderi female
22672,Lepidoptera,Butterfly,Pieridae,Delias,Delias isse,Delias isse isse,Delias isse isse male,Lepidoptera Butterfly Pieridae Delias isse isse male
22674,Lepidoptera,Butterfly,Pieridae,Delias,Delias isse,Delias isse isse,Delias isse isse female,Lepidoptera Butterfly Pieridae Delias isse isse female
22685,Lepidoptera,Butterfly,Pieridae,Pareronia,Pareronia boebera,Pareronia boebera,Pareronia boebera female,Lepidoptera Butterfly Pieridae Pareronia boebera nan female
22686,Lepidoptera,Butterfly,Pieridae,Delias,Delias mira,Delias mira excelsa,Delias mira excelsa female,Lepidoptera Butterfly Pieridae Delias mira excelsa female
22687,Lepidoptera,Butterfly,Pieridae,Delias,Delias mira,Delias mira excelsa,,Lepidoptera Butterfly Pieridae Delias mira excelsa nan
22690,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora boisduvaliana,Cepora boisduvaliana,,Lepidoptera Butterfly Pieridae Cepora boisduvaliana nan nan
22691,Lepidoptera,Butterfly,Pieridae,Catopsilia,Catopsilia scylla,Catopsilia scylla etesia,Catopsilia scylla etesia male,Lepidoptera Butterfly Pieridae Catopsilia scylla etesia male
22692,Lepidoptera,Butterfly,Pieridae,Delias,Delias candida,Delias candida,Delias candida female,Lepidoptera Butterfly Pieridae Delias candida nan female
22695,Lepidoptera,Butterfly,Pieridae,Delias,Delias candida,Delias candida,,Lepidoptera Butterfly Pieridae Delias candida nan nan
22699,Lepidoptera,Butterfly,Pieridae,Delias,Delias rosenbergi,Delias rosenbergi munaensis,Delias rosenbergi munaensis male,Lepidoptera Butterfly Pieridae Delias rosenbergi munaensis male
22700,Lepidoptera,Butterfly,Pieridae,Delias,Delias rosenbergi,Delias rosenbergi munaensis,Delias rosenbergi munaensis female,Lepidoptera Butterfly Pieridae Delias rosenbergi munaensis female
22714,Lepidoptera,Butterfly,Pieridae,Delias,Delias schoenbergi,Delias schoenbergi schoenbergi,,Lepidoptera Butterfly Pieridae Delias schoenbergi schoenbergi nan
22717,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema alitha,Eurema alitha sankapura,,Lepidoptera Butterfly Pieridae Eurema alitha sankapura nan
22720,Lepidoptera,Butterfly,Pieridae,Catopsilia,Catopsilia pyranthe,Catopsilia pyranthe,Catopsilia pyranthe male,Lepidoptera Butterfly Pieridae Catopsilia pyranthe nan male
22721,Lepidoptera,Butterfly,Pieridae,Catopsilia,Catopsilia pyranthe,Catopsilia pyranthe pyranthe,Catopsilia pyranthe pyranthe female,Lepidoptera Butterfly Pieridae Catopsilia pyranthe pyranthe female
22722,Lepidoptera,Butterfly,Pieridae,Catopsilia,Catopsilia pyranthe,Catopsilia pyranthe evangelina,,Lepidoptera Butterfly Pieridae Catopsilia pyranthe evangelina nan
22729,Lepidoptera,Butterfly,Pieridae,Appias,Appias ada,Appias ada ardens,,Lepidoptera Butterfly Pieridae Appias ada ardens nan
22730,Lepidoptera,Butterfly,Pieridae,Appias,Appias ada,Appias ada thasia,Appias ada thasia male,Lepidoptera Butterfly Pieridae Appias ada thasia male
22732,Lepidoptera,Butterfly,Pieridae,Appias,Appias ada,Appias ada thasia,Appias ada thasia female,Lepidoptera Butterfly Pieridae Appias ada thasia female
22734,Lepidoptera,Butterfly,Pieridae,Appias,Appias ada,Appias ada thasia,,Lepidoptera Butterfly Pieridae Appias ada thasia nan
22736,Lepidoptera,Butterfly,Pieridae,Appias,Appias athama,Appias athama,,Lepidoptera Butterfly Pieridae Appias athama nan nan
22737,Lepidoptera,Butterfly,Pieridae,Appias,Appias celestina,Appias celestina galepsus,Appias celestina galepsus male,Lepidoptera Butterfly Pieridae Appias celestina galepsus male
22738,Lepidoptera,Butterfly,Pieridae,Appias,Appias nero,Appias nero figulina,Appias nero figulina male,Lepidoptera Butterfly Pieridae Appias nero figulina male
22740,Lepidoptera,Butterfly,Pieridae,Appias,Appias athama,Appias athama,Appias athama female,Lepidoptera Butterfly Pieridae Appias athama nan female
22741,Lepidoptera,Butterfly,Pieridae,Appias,Appias pandione,Appias pandione,,Lepidoptera Butterfly Pieridae Appias pandione nan nan
22742,Lepidoptera,Butterfly,Pieridae,Appias,Appias pandione,Appias pandione,Appias pandione male,Lepidoptera Butterfly Pieridae Appias pandione nan male
22745,Lepidoptera,Butterfly,Pieridae,Appias,Appias pandione,Appias pandione,Appias pandione female,Lepidoptera Butterfly Pieridae Appias pandione nan female
22754,Lepidoptera,Butterfly,Pieridae,Appias,Appias melania,Appias melania melania,Appias melania melania female,Lepidoptera Butterfly Pieridae Appias melania melania female
22755,Lepidoptera,Butterfly,Pieridae,Belenois,Belenois java,Belenois java anita,Belenois java anita female,Lepidoptera Butterfly Pieridae Belenois java anita female
22756,Lepidoptera,Butterfly,Pieridae,Belenois,Belenois java,Belenois java savuana,Belenois java savuana male,Lepidoptera Butterfly Pieridae Belenois java savuana male
22757,Lepidoptera,Butterfly,Pieridae,Appias,Appias albina,Appias albina ambigua,Appias albina ambigua female,Lepidoptera Butterfly Pieridae Appias albina ambigua female
22761,Lepidoptera,Butterfly,Pieridae,Appias,Appias albina,Appias albina ambigua,,Lepidoptera Butterfly Pieridae Appias albina ambigua nan
22764,Lepidoptera,Butterfly,Pieridae,Delias,Delias splendida,Delias splendida,,Lepidoptera Butterfly Pieridae Delias splendida nan nan
22765,Lepidoptera,Butterfly,Pieridae,Delias,Delias hyparete,Delias hyparete despoliata,,Lepidoptera Butterfly Pieridae Delias hyparete despoliata nan
22766,Lepidoptera,Butterfly,Pieridae,Delias,Delias hyparete,Delias hyparete despoliata,Delias hyparete despoliata male,Lepidoptera Butterfly Pieridae Delias hyparete despoliata male
22777,Lepidoptera,Butterfly,Pieridae,Delias,Delias hyparete,Delias hyparete despoliata,Delias hyparete despoliata female,Lepidoptera Butterfly Pieridae Delias hyparete despoliata female
22847,Lepidoptera,Butterfly,Pieridae,Delias,Delias hyparete,Delias hyparete,,Lepidoptera Butterfly Pieridae Delias hyparete nan nan
22854,Lepidoptera,Butterfly,Pieridae,Delias,Delias hyparete,Delias hyparete,Delias hyparete female,Lepidoptera Butterfly Pieridae Delias hyparete nan female
22855,Lepidoptera,Butterfly,Pieridae,Delias,Delias periboea,Delias periboea wallacei,,Lepidoptera Butterfly Pieridae Delias periboea wallacei nan
22862,Lepidoptera,Butterfly,Pieridae,Delias,Delias periboea,Delias periboea wallacei,Delias periboea wallacei male,Lepidoptera Butterfly Pieridae Delias periboea wallacei male
22863,Lepidoptera,Butterfly,Pieridae,Delias,Delias sambawana,Delias sambawana everetti,Delias sambawana everetti female,Lepidoptera Butterfly Pieridae Delias sambawana everetti female
22864,Lepidoptera,Butterfly,Pieridae,Delias,Delias sambawana,Delias sambawana everetti,,Lepidoptera Butterfly Pieridae Delias sambawana everetti nan
22865,Lepidoptera,Butterfly,Pieridae,Delias,Delias poecilea,Delias poecilea poecilea,,Lepidoptera Butterfly Pieridae Delias poecilea poecilea nan
22867,Lepidoptera,Butterfly,Pieridae,Delias,Delias poecilea,Delias poecilea poecilea,Delias poecilea poecilea male,Lepidoptera Butterfly Pieridae Delias poecilea poecilea male
22898,Lepidoptera,Butterfly,Pieridae,Pareronia,Pareronia valeria,Pareronia valeria valeriana,,Lepidoptera Butterfly Pieridae Pareronia valeria valeriana nan
22907,Lepidoptera,Butterfly,Pieridae,Appias,Appias nero,Appias nero,,Lepidoptera Butterfly Pieridae Appias nero nan nan
22917,Lepidoptera,Butterfly,Pieridae,Delias,Delias catocausta,Delias catocausta eefi,,Lepidoptera Butterfly Pieridae Delias catocausta eefi nan
22919,Lepidoptera,Butterfly,Pieridae,Delias,Delias clathrata,Delias clathrata,,Lepidoptera Butterfly Pieridae Delias clathrata nan nan
23004,Lepidoptera,Butterfly,Pieridae,Delias,Delias poecilea,Delias poecilea poecilea,Delias poecilea poecilea female,Lepidoptera Butterfly Pieridae Delias poecilea poecilea female
23051,Lepidoptera,Butterfly,Pieridae,Delias,Delias hyparete,Delias hyparete mindanaensis,Delias hyparete mindanaensis male,Lepidoptera Butterfly Pieridae Delias hyparete mindanaensis male
23150,Lepidoptera,Butterfly,Pieridae,Appias,Appias nero,Appias nero domitia,Appias nero domitia male,Lepidoptera Butterfly Pieridae Appias nero domitia male
23159,Lepidoptera,Butterfly,Pieridae,Delias,Delias phippsi,Delias phippsi mulia,,Lepidoptera Butterfly Pieridae Delias phippsi mulia nan
23164,Lepidoptera,Butterfly,Pieridae,Delias,Delias ligata,Delias ligata weylandensis,Delias ligata weylandensis male,Lepidoptera Butterfly Pieridae Delias ligata weylandensis male
23165,Lepidoptera,Butterfly,Pieridae,Delias,Delias ligata,Delias ligata weylandensis,,Lepidoptera Butterfly Pieridae Delias ligata weylandensis nan
23179,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema alitha,Eurema alitha bidens,,Lepidoptera Butterfly Pieridae Eurema alitha bidens nan
23181,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema andersoni,Eurema andersoni udana,Eurema andersoni udana male,Lepidoptera Butterfly Pieridae Eurema andersoni udana male
23182,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema sari,Eurema sari,Eurema sari female,Lepidoptera Butterfly Pieridae Eurema sari nan female
23183,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema tilaha,Eurema tilaha,Eurema tilaha female,Lepidoptera Butterfly Pieridae Eurema tilaha nan female
23184,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema tilaha,Eurema tilaha,Eurema tilaha male,Lepidoptera Butterfly Pieridae Eurema tilaha nan male
23185,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema sari,Eurema sari,Eurema sari male,Lepidoptera Butterfly Pieridae Eurema sari nan male
23196,Lepidoptera,Butterfly,Pieridae,Catopsilia,Catopsilia scylla,Catopsilia scylla asaema,Catopsilia scylla asaema female,Lepidoptera Butterfly Pieridae Catopsilia scylla asaema female
23197,Lepidoptera,Butterfly,Pieridae,Catopsilia,Catopsilia scylla,Catopsilia scylla praerubida,Catopsilia scylla praerubida female,Lepidoptera Butterfly Pieridae Catopsilia scylla praerubida female
23267,Lepidoptera,Butterfly,Pieridae,Prioneris,Prioneris autothisbe,Prioneris autothisbe autothisbe,Prioneris autothisbe autothisbe male,Lepidoptera Butterfly Pieridae Prioneris autothisbe autothisbe male
23272,Lepidoptera,Butterfly,Pieridae,Prioneris,Prioneris autothisbe,Prioneris autothisbe autothisbe,,Lepidoptera Butterfly Pieridae Prioneris autothisbe autothisbe nan
23316,Lepidoptera,Butterfly,Pieridae,Delias,Delias meeki,Delias meeki arfakensis,,Lepidoptera Butterfly Pieridae Delias meeki arfakensis nan
23329,Lepidoptera,Butterfly,Pieridae,Delias,Delias meeki,Delias meeki arfakensis,Delias meeki arfakensis female,Lepidoptera Butterfly Pieridae Delias meeki arfakensis female
23330,Lepidoptera,Butterfly,Pieridae,Delias,Delias fasciata,Delias fasciata,Delias fasciata male,Lepidoptera Butterfly Pieridae Delias fasciata nan male
23332,Lepidoptera,Butterfly,Pieridae,Delias,Delias fasciata,Delias fasciata,Delias fasciata female,Lepidoptera Butterfly Pieridae Delias fasciata nan female
23337,Lepidoptera,Butterfly,Pieridae,Delias,Delias sambawana,Delias sambawana boejanana,Delias sambawana boejanana male,Lepidoptera Butterfly Pieridae Delias sambawana boejanana male
23338,Lepidoptera,Butterfly,Pieridae,Delias,Delias sambawana,Delias sambawana boejanana,Delias sambawana boejanana female,Lepidoptera Butterfly Pieridae Delias sambawana boejanana female
23354,Lepidoptera,Butterfly,Pieridae,Delias,Delias hyparete,Delias hyparete metarete,Delias hyparete metarete male,Lepidoptera Butterfly Pieridae Delias hyparete metarete male
23355,Lepidoptera,Butterfly,Pieridae,Saletara,Saletara panda,Saletara panda panda,Saletara panda panda female,Lepidoptera Butterfly Pieridae Saletara panda panda female
23358,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora temena,Cepora temena,,Lepidoptera Butterfly Pieridae Cepora temena nan nan
23359,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora temena,Cepora temena,Cepora temena male,Lepidoptera Butterfly Pieridae Cepora temena nan male
23362,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora perimale,Cepora perimale rachel,Cepora perimale rachel male,Lepidoptera Butterfly Pieridae Cepora perimale rachel male
23363,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora perimale,Cepora perimale mithra,,Lepidoptera Butterfly Pieridae Cepora perimale mithra nan
23364,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora perimale,Cepora perimale consanguis,,Lepidoptera Butterfly Pieridae Cepora perimale consanguis nan
23366,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora perimale,Cepora perimale consanguis,Cepora perimale consanguis male,Lepidoptera Butterfly Pieridae Cepora perimale consanguis male
23367,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema andersoni,Eurema andersoni udana,Eurema andersoni udana female,Lepidoptera Butterfly Pieridae Eurema andersoni udana female
23368,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema laeta,Eurema laeta,Eurema laeta female,Lepidoptera Butterfly Pieridae Eurema laeta nan female
23369,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema blanda,Eurema blanda,,Lepidoptera Butterfly Pieridae Eurema blanda nan nan
23371,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema alitha,Eurema alitha djampeana,Eurema alitha djampeana male,Lepidoptera Butterfly Pieridae Eurema alitha djampeana male
23372,Lepidoptera,Butterfly,Pieridae,Gandaca,Gandaca harina,Gandaca harina,,Lepidoptera Butterfly Pieridae Gandaca harina nan nan
23373,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora eperia,Cepora eperia,,Lepidoptera Butterfly Pieridae Cepora eperia nan nan
23374,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora timnatha,Cepora timnatha,,Lepidoptera Butterfly Pieridae Cepora timnatha nan nan
23375,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora timnatha,Cepora timnatha,Cepora timnatha male,Lepidoptera Butterfly Pieridae Cepora timnatha nan male
23378,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora celebensis,Cepora celebensis,Cepora celebensis male,Lepidoptera Butterfly Pieridae Cepora celebensis nan male
23379,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora celebensis,Cepora celebensis,,Lepidoptera Butterfly Pieridae Cepora celebensis nan nan
23391,Lepidoptera,Butterfly,Pieridae,Delias,Delias nysa,Delias nysa nysa,,Lepidoptera Butterfly Pieridae Delias nysa nysa nan
23471,Lepidoptera,Butterfly,Pieridae,Delias,Delias nais,Delias nais nais,Delias nais nais female,Lepidoptera Butterfly Pieridae Delias nais nais female
23479,Lepidoptera,Butterfly,Pieridae,Delias,Delias periboea,Delias periboea livia,,Lepidoptera Butterfly Pieridae Delias periboea livia nan
23481,Lepidoptera,Butterfly,Pieridae,Delias,Delias periboea,Delias periboea livia,Delias periboea livia male,Lepidoptera Butterfly Pieridae Delias periboea livia male
23487,Lepidoptera,Butterfly,Pieridae,Delias,Delias periboea,Delias periboea floresiana,,Lepidoptera Butterfly Pieridae Delias periboea floresiana nan
23512,Lepidoptera,Butterfly,Pieridae,Appias,Appias lyncida,Appias lyncida floresiana,Appias lyncida floresiana female,Lepidoptera Butterfly Pieridae Appias lyncida floresiana female
23513,Lepidoptera,Butterfly,Pieridae,Appias,Appias lyncida,Appias lyncida fabiola,Appias lyncida fabiola female,Lepidoptera Butterfly Pieridae Appias lyncida fabiola female
23520,Lepidoptera,Butterfly,Pieridae,Hebomoia,Hebomoia glaucippe,Hebomoia glaucippe sumatrana,,Lepidoptera Butterfly Pieridae Hebomoia glaucippe sumatrana nan
23525,Lepidoptera,Butterfly,Pieridae,Appias,Appias albina,Appias albina,,Lepidoptera Butterfly Pieridae Appias albina nan nan
23526,Lepidoptera,Butterfly,Pieridae,Appias,Appias melania,Appias melania,,Lepidoptera Butterfly Pieridae Appias melania nan nan
23527,Lepidoptera,Butterfly,Pieridae,Appias,Appias melania,Appias melania,Appias melania male,Lepidoptera Butterfly Pieridae Appias melania nan male
23529,Lepidoptera,Butterfly,Pieridae,Appias,Appias celestina,Appias celestina,Appias celestina male,Lepidoptera Butterfly Pieridae Appias celestina nan male
23530,Lepidoptera,Butterfly,Pieridae,Appias,Appias indra,Appias indra plana,,Lepidoptera Butterfly Pieridae Appias indra plana nan
23532,Lepidoptera,Butterfly,Pieridae,Appias,Appias lucasii,Appias lucasii,Appias lucasii female,Lepidoptera Butterfly Pieridae Appias lucasii nan female
23533,Lepidoptera,Butterfly,Pieridae,Appias,Appias melania,Appias melania,Appias melania female,Lepidoptera Butterfly Pieridae Appias melania nan female
23535,Lepidoptera,Butterfly,Pieridae,Appias,Appias albina,Appias albina albina,Appias albina albina female,Lepidoptera Butterfly Pieridae Appias albina albina female
23536,Lepidoptera,Butterfly,Pieridae,Belenois,Belenois java,Belenois java teutonia,Belenois java teutonia female,Lepidoptera Butterfly Pieridae Belenois java teutonia female
23537,Lepidoptera,Butterfly,Pieridae,Belenois,Belenois java,Belenois java savuana,Belenois java savuana female,Lepidoptera Butterfly Pieridae Belenois java savuana female
23599,Lepidoptera,Butterfly,Pieridae,Appias,Appias albina,Appias albina albina,,Lepidoptera Butterfly Pieridae Appias albina albina nan
23603,Lepidoptera,Butterfly,Pieridae,Appias,Appias albina,Appias albina albina,Appias albina albina male,Lepidoptera Butterfly Pieridae Appias albina albina male
23605,Lepidoptera,Butterfly,Pieridae,Ixias,Ixias piepersii,Ixias piepersii,Ixias piepersii male,Lepidoptera Butterfly Pieridae Ixias piepersii nan male
23606,Lepidoptera,Butterfly,Pieridae,Ixias,Ixias piepersii,Ixias piepersii,Ixias piepersii female,Lepidoptera Butterfly Pieridae Ixias piepersii nan female
23608,Lepidoptera,Butterfly,Pieridae,Prioneris,Prioneris hypsipyle,Prioneris hypsipyle,,Lepidoptera Butterfly Pieridae Prioneris hypsipyle nan nan
23618,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora abnormis,Cepora abnormis,Cepora abnormis male,Lepidoptera Butterfly Pieridae Cepora abnormis nan male
23619,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora abnormis,Cepora abnormis,,Lepidoptera Butterfly Pieridae Cepora abnormis nan nan
23624,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema hecabe,Eurema hecabe,Eurema hecabe male,Lepidoptera Butterfly Pieridae Eurema hecabe nan male
23625,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema laeta,Eurema laeta,Eurema laeta male,Lepidoptera Butterfly Pieridae Eurema laeta nan male
23640,Lepidoptera,Butterfly,Pieridae,Delias,Delias timorensis,Delias timorensis timorensis,,Lepidoptera Butterfly Pieridae Delias timorensis timorensis nan
23641,Lepidoptera,Butterfly,Pieridae,Delias,Delias timorensis,Delias timorensis gardineri,Delias timorensis gardineri female,Lepidoptera Butterfly Pieridae Delias timorensis gardineri female
23642,Lepidoptera,Butterfly,Pieridae,Delias,Delias timorensis,Delias timorensis gardineri,,Lepidoptera Butterfly Pieridae Delias timorensis gardineri nan
23652,Lepidoptera,Butterfly,Pieridae,Delias,Delias timorensis,Delias timorensis timorensis,Delias timorensis timorensis female,Lepidoptera Butterfly Pieridae Delias timorensis timorensis female
23672,Lepidoptera,Butterfly,Pieridae,Delias,Delias timorensis,Delias timorensis gardineri,Delias timorensis gardineri male,Lepidoptera Butterfly Pieridae Delias timorensis gardineri male
23676,Lepidoptera,Butterfly,Pieridae,Appias,Appias nero,Appias nero nero,Appias nero nero female,Lepidoptera Butterfly Pieridae Appias nero nero female
23681,Lepidoptera,Butterfly,Pieridae,Aoa,Aoa affinis,Aoa affinis,Aoa affinis male,Lepidoptera Butterfly Pieridae Aoa affinis nan male
23682,Lepidoptera,Butterfly,Pieridae,Aoa,Aoa affinis,Aoa affinis,,Lepidoptera Butterfly Pieridae Aoa affinis nan nan
23694,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora aspasia,Cepora aspasia emma,Cepora aspasia emma male,Lepidoptera Butterfly Pieridae Cepora aspasia emma male
23695,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora asterope,Cepora asterope aspasina,Cepora asterope aspasina male,Lepidoptera Butterfly Pieridae Cepora asterope aspasina male
23703,Lepidoptera,Butterfly,Pieridae,Ixias,Ixias reinwardti,Ixias reinwardti baliensis,Ixias reinwardti baliensis male,Lepidoptera Butterfly Pieridae Ixias reinwardti baliensis male
23706,Lepidoptera,Butterfly,Pieridae,Ixias,Ixias reinwardti,Ixias reinwardti baliensis,,Lepidoptera Butterfly Pieridae Ixias reinwardti baliensis nan
23709,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora nadina,Cepora nadina fawcetti,,Lepidoptera Butterfly Pieridae Cepora nadina fawcetti nan
23710,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora nadina,Cepora nadina fawcetti,Cepora nadina fawcetti male,Lepidoptera Butterfly Pieridae Cepora nadina fawcetti male
23714,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora perimale,Cepora perimale dohertyana,,Lepidoptera Butterfly Pieridae Cepora perimale dohertyana nan
23718,Lepidoptera,Butterfly,Pieridae,Prioneris,Prioneris hypsipyle,Prioneris hypsipyle,Prioneris hypsipyle female,Lepidoptera Butterfly Pieridae Prioneris hypsipyle nan female
23720,Lepidoptera,Butterfly,Pieridae,Prioneris,Prioneris hypsipyle,Prioneris hypsipyle,Prioneris hypsipyle male,Lepidoptera Butterfly Pieridae Prioneris hypsipyle nan male
23722,Lepidoptera,Butterfly,Pieridae,Prioneris,Prioneris philonome,Prioneris philonome clemanthe,,Lepidoptera Butterfly Pieridae Prioneris philonome clemanthe nan
23723,Lepidoptera,Butterfly,Pieridae,Prioneris,Prioneris philonome,Prioneris philonome clemanthe,Prioneris philonome clemanthe male,Lepidoptera Butterfly Pieridae Prioneris philonome clemanthe male
23724,Lepidoptera,Butterfly,Pieridae,Saletara,Saletara liberia,Saletara liberia,Saletara liberia male,Lepidoptera Butterfly Pieridae Saletara liberia nan male
23726,Lepidoptera,Butterfly,Pieridae,Saletara,Saletara liberia,Saletara liberia,,Lepidoptera Butterfly Pieridae Saletara liberia nan nan
23761,Lepidoptera,Butterfly,Pieridae,Saletara,Saletara cycinna,Saletara cycinna,,Lepidoptera Butterfly Pieridae Saletara cycinna nan nan
23762,Lepidoptera,Butterfly,Pieridae,Delias,Delias gabia,Delias gabia aurantimacula,,Lepidoptera Butterfly Pieridae Delias gabia aurantimacula nan
23763,Lepidoptera,Butterfly,Pieridae,Cepora,Cepora iudith,Cepora iudith montana,,Lepidoptera Butterfly Pieridae Cepora iudith montana nan
23764,Lepidoptera,Butterfly,Pieridae,Ixias,Ixias venilia,Ixias venilia,,Lepidoptera Butterfly Pieridae Ixias venilia nan nan
23767,Lepidoptera,Butterfly,Pieridae,Delias,Delias arabuana,Delias arabuana modioensis,,Lepidoptera Butterfly Pieridae Delias arabuana modioensis nan
23768,Lepidoptera,Butterfly,Pieridae,Delias,Delias iltis,Delias iltis sibil,,Lepidoptera Butterfly Pieridae Delias iltis sibil nan
23778,Lepidoptera,Butterfly,Pieridae,Delias,Delias prouti,Delias prouti,Delias prouti male,Lepidoptera Butterfly Pieridae Delias prouti nan male
23779,Lepidoptera,Butterfly,Pieridae,Delias,Delias prouti,Delias prouti,,Lepidoptera Butterfly Pieridae Delias prouti nan nan
23780,Lepidoptera,Butterfly,Pieridae,Delias,Delias duris,Delias duris,Delias duris male,Lepidoptera Butterfly Pieridae Delias duris nan male
23781,Lepidoptera,Butterfly,Pieridae,Delias,Delias duris,Delias duris,Delias duris female,Lepidoptera Butterfly Pieridae Delias duris nan female
23782,Lepidoptera,Butterfly,Pieridae,Delias,Delias duris,Delias duris,,Lepidoptera Butterfly Pieridae Delias duris nan nan
23783,Lepidoptera,Butterfly,Pieridae,Delias,Delias henningia,Delias henningia palawana,,Lepidoptera Butterfly Pieridae Delias henningia palawana nan
23790,Lepidoptera,Butterfly,Pieridae,Delias,Delias acalis,Delias acalis pyramus,Delias acalis pyramus female,Lepidoptera Butterfly Pieridae Delias acalis pyramus female
23791,Lepidoptera,Butterfly,Pieridae,Delias,Delias acalis,Delias acalis pyramus,Delias acalis pyramus male,Lepidoptera Butterfly Pieridae Delias acalis pyramus male
23794,Lepidoptera,Butterfly,Pieridae,Delias,Delias chrysomelaena,Delias chrysomelaena,Delias chrysomelaena male,Lepidoptera Butterfly Pieridae Delias chrysomelaena nan male
23796,Lepidoptera,Butterfly,Pieridae,Delias,Delias chrysomelaena,Delias chrysomelaena,Delias chrysomelaena female,Lepidoptera Butterfly Pieridae Delias chrysomelaena nan female
23797,Lepidoptera,Butterfly,Pieridae,Delias,Delias talboti,Delias talboti,,Lepidoptera Butterfly Pieridae Delias talboti nan nan
23800,Lepidoptera,Butterfly,Pieridae,Delias,Delias shirozui,Delias shirozui,Delias shirozui female,Lepidoptera Butterfly Pieridae Delias shirozui nan female
23801,Lepidoptera,Butterfly,Pieridae,Delias,Delias shirozui,Delias shirozui,,Lepidoptera Butterfly Pieridae Delias shirozui nan nan
23802,Lepidoptera,Butterfly,Pieridae,Delias,Delias paoaiensis,Delias paoaiensis paoaiensis,,Lepidoptera Butterfly Pieridae Delias paoaiensis paoaiensis nan
23813,Lepidoptera,Butterfly,Pieridae,Appias,Appias nero,Appias nero,Appias nero female,Lepidoptera Butterfly Pieridae Appias nero nan female
23814,Lepidoptera,Butterfly,Pieridae,Appias,Appias zarinda,Appias zarinda,Appias zarinda male,Lepidoptera Butterfly Pieridae Appias zarinda nan male
23815,Lepidoptera,Butterfly,Pieridae,Appias,Appias zarinda,Appias zarinda,,Lepidoptera Butterfly Pieridae Appias zarinda nan nan
23840,Lepidoptera,Butterfly,Pieridae,Delias,Delias eschatia,Delias eschatia eschatia,,Lepidoptera Butterfly Pieridae Delias eschatia eschatia nan
23841,Lepidoptera,Butterfly,Pieridae,Delias,Delias fruhstorferi,Delias fruhstorferi fruhstorferi,Delias fruhstorferi fruhstorferi female,Lepidoptera Butterfly Pieridae Delias fruhstorferi fruhstorferi female
23844,Lepidoptera,Butterfly,Pieridae,Delias,Delias fruhstorferi,Delias fruhstorferi fruhstorferi,,Lepidoptera Butterfly Pieridae Delias fruhstorferi fruhstorferi nan
23845,Lepidoptera,Butterfly,Pieridae,Delias,Delias fruhstorferi,Delias fruhstorferi fruhstorferi,Delias fruhstorferi fruhstorferi male,Lepidoptera Butterfly Pieridae Delias fruhstorferi fruhstorferi male
23849,Lepidoptera,Butterfly,Pieridae,Delias,Delias dice,Delias dice dice,,Lepidoptera Butterfly Pieridae Delias dice dice nan
23852,Lepidoptera,Butterfly,Pieridae,Delias,Delias belisama,Delias belisama,Delias belisama male,Lepidoptera Butterfly Pieridae Delias belisama nan male
