,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
169,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis acilia,Cyrestis acilia harterti,Cyrestis acilia harterti male,Lepidoptera Butterfly Nymphalidae Cyrestis acilia harterti male
171,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis acilia,Cyrestis acilia harterti,Cyrestis acilia harterti female,Lepidoptera Butterfly Nymphalidae Cyrestis acilia harterti female
178,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia salentia,,Lepidoptera Butterfly Nymphalidae Parthenos sylvia salentia nan
180,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia salentia,Parthenos sylvia salentia female,Lepidoptera Butterfly Nymphalidae Parthenos sylvia salentia female
181,Lepidoptera,Butterfly,Nymphalidae,Parthenos,Parthenos sylvia,Parthenos sylvia salentia,Parthenos sylvia salentia male,Lepidoptera Butterfly Nymphalidae Parthenos sylvia salentia male
196,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia iapis,Tanaecia iapis,,Lepidoptera Butterfly Nymphalidae Tanaecia iapis nan nan
197,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia iapis,Tanaecia iapis,Tanaecia iapis male,Lepidoptera Butterfly Nymphalidae Tanaecia iapis nan male
198,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia iapis,Tanaecia iapis iapis,Tanaecia iapis iapis male,Lepidoptera Butterfly Nymphalidae Tanaecia iapis iapis male
202,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia iapis,Tanaecia iapis,Tanaecia iapis female,Lepidoptera Butterfly Nymphalidae Tanaecia iapis nan female
211,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia iapis,Tanaecia iapis iapis,Tanaecia iapis iapis female,Lepidoptera Butterfly Nymphalidae Tanaecia iapis iapis female
212,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia pelea,Tanaecia pelea heliophila,Tanaecia pelea heliophila male,Lepidoptera Butterfly Nymphalidae Tanaecia pelea heliophila male
215,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia pelea,Tanaecia pelea heliophila,Tanaecia pelea heliophila female,Lepidoptera Butterfly Nymphalidae Tanaecia pelea heliophila female
218,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia palguna,Tanaecia palguna palguna,,Lepidoptera Butterfly Nymphalidae Tanaecia palguna palguna nan
219,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia palguna,Tanaecia palguna palguna,Tanaecia palguna palguna male,Lepidoptera Butterfly Nymphalidae Tanaecia palguna palguna male
225,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia palguna,Tanaecia palguna palguna,Tanaecia palguna palguna female,Lepidoptera Butterfly Nymphalidae Tanaecia palguna palguna female
244,Lepidoptera,Butterfly,Nymphalidae,Euthalia,Euthalia mahadeva,Euthalia mahadeva,,Lepidoptera Butterfly Nymphalidae Euthalia mahadeva nan nan
250,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia kyllene,Danaus genutia kyllene female,Lepidoptera Butterfly Nymphalidae Danaus genutia kyllene female
251,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis vitrea,Ideopsis vitrea oenopia,,Lepidoptera Butterfly Nymphalidae Ideopsis vitrea oenopia nan
252,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis vitrea,Ideopsis vitrea chloris,,Lepidoptera Butterfly Nymphalidae Ideopsis vitrea chloris nan
258,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus ismare,Danaus ismare ismareola,,Lepidoptera Butterfly Nymphalidae Danaus ismare ismareola nan
261,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia kyllene,Danaus genutia kyllene male,Lepidoptera Butterfly Nymphalidae Danaus genutia kyllene male
264,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia leucoglene,Danaus genutia leucoglene male,Lepidoptera Butterfly Nymphalidae Danaus genutia leucoglene male
265,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus genutia,Danaus genutia leucoglene,Danaus genutia leucoglene female,Lepidoptera Butterfly Nymphalidae Danaus genutia leucoglene female
266,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus ismare,Danaus ismare goramica,,Lepidoptera Butterfly Nymphalidae Danaus ismare goramica nan
268,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio ulysses,Papilio ulysses autolycus,Papilio ulysses autolycus male,Lepidoptera Butterfly Papilionidae Papilio ulysses autolycus male
269,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis hylas,Neptis hylas papaja,,Lepidoptera Butterfly Nymphalidae Neptis hylas papaja nan
271,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia cocytina,Tanaecia cocytina cocytina,Tanaecia cocytina cocytina male,Lepidoptera Butterfly Nymphalidae Tanaecia cocytina cocytina male
276,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia hordonia,Pantoporia hordonia pardus,,Lepidoptera Butterfly Nymphalidae Pantoporia hordonia pardus nan
